абитуриент	entrant
разграбление	sack
разгромить	rout
раздавать	allot
раздавить	crush
раздавливать	mash; squash
раздаточные материалы	handouts
раздвоение	bifurcation
раздевать	disrobe
раздеваться	disrobe
разделять	separate; apportion; dismember
разделяющий	divisive
раздор	dissension; discord
раздражать	exasperate; irk; irritate; peeve; offend; arouse
раздражаться	chafe; fume
раздражение	exasperation; inflammation
раздражительность	bile
раздражительный	grumpy
раздробить	shatter
раздуваться	bloat
разжаловать	demote; relegate
разжижение	attenuation
разлагаться	decay
разливать	ladle; pour; spill
различать	discern; distinguish
различаться	diverge
различие	distinction
различимый	discernible
разложение	decay
размещать	allocate; marshal; dispose
размещение	placement
разминать	mash
разминаться	limber up
размножать	propagate; manifold
размножаться	breed; spawn
размножение	procreation; propagation
размышление	thoughts
размышлять	speculate; reflect; contemplate; wonder
разнимать	dismember
разногласие	dissent; dissension; discord
разногласия	dispute
разнообразие	varieties
разнообразить	diversify
разнообразный	manifold
разнорабочий	handyman-type
разносить	spread
разность	residual
разноцветный	motley
разоблачать	debunk; disclose; reveal
разоблачение	giveaway; revelation
разоблачить	expose
разобщенный	estranged
разорение	ravage
разорение компаний	shakeout
разоренный	busted
разорить	bust
разорять	devastate; impoverish
разочарование	disillusion; frustration
разочаровывать	disappoint
разрабатывать	exploit
разработка	elaboration
разрастаться	proliferate
разреженный	tenuous
разрез	incision
разрешать	empower; permit; grant
разрешающий	permissive
разрешение	allowance; permission; permit
разрисовывать	doodling
разрозненный	disparate
разрубать	hew
разрушать	demolish; undermine
разрушать планы	thwart
разрушаться	crumble
разрушительный	devastating; disruptive
разрывать	sever
разрывать на части	dismember
разряжать	discharge
разум	mind; consciousness; wit
разумно	legitimately
разумное объяснение	rationale
разумный	reasonable; sensible; intelligent; sentient
разъедать	erode
разъединять	decouple; sever
разъем	jack
разъярять	enrage
разъяснять	expound; elucidate; clarify
разыскивать	seek
раковина	sink
ракообразное	crustacean
рама	chassis
рампа	ramp
рана	wound; lesion; sore
ранение	wound
ранить	bruise; scathe
расист	bigot
раскаиваться	rue
раскаяние	remorse; repentance; compunction; rue
раскол	crack; dissent
расколоть	splinter
раскрывать	disclose; divulge
раскрытый	revealed
распад	decay
распадаться	crumble
расписание	schedule
расплавленный металл	melt
расплата	forfeit
расплескивать	spill
расплывчато	vaguely
расплющивать	squish
располагать	dispose; arrange
располагаться	reside
расположение духа	mood
распоряжение	disposal
распределять	allocate; apportion
распродажа активов	divestiture
распроряжение	imperative
распространение	dissemination; propagation; amplification
распространенность	prevalence
распространенный	pervasive
распространять	disseminate; propagate; spread; diffuse
распространять (слухи)	rumour
распространяться	proliferate; permeate
распускать	dissolve
распутать	unravel
распутничать	wench
распущенность	debauchery
распятие	crucifix
рассвет	dawn
рассветать	dawn
рассеивание	dissemination
рассеивать	diffuse; disseminate; scatter
рассеиваться	dispel; dissipate
рассерженный	disgruntled
рассечение	incision
рассеянный	erratic
рассеяный	absentminded
рассеять	dissipate; dispel
рассказ	narrative
рассказывать	recount; recite
расслабиться	loosen
расслаиваться	stratify; flake
расследование	inquiry
расследовать	investigate
рассматривать	consider; regard; contemplate; scrutinize
рассмотрение	approval
расспрашивание	inquiry
расспрашивать	interrogate
расставание	parting
расставаться	break up
расстраивать	upset
расстроенный	upset
расстройство	disorder; frustration; upset; hang-up
рассудительность	sobriety; prudence
растворяться	dissolve
растение	plant
растениеводство	horticulture
растерянность	perplexity
растительность	greenery
растить	foster
растлитель малолетних	molester
растоптать	trample
расточать	squander
расточительный	lavish
расточительство	squander
растрачивать	embezzle
растягивать слова	drawling
растягивающий слова	drawling
расхищать	embezzle
расход	expense
расход на налоги	tax expense
расходиться	diverge
расходиться в мнениях	discord
расходы	outlay
расходящийся	divergent
расхождение	discrepancy
расценивать	appraise
расцеплять	decouple
расческа	comb
расчесывать	comb
расчленять	dismember
расширение	amplification
расширять	widen; amplify
рациональный	sensible
рваная рана	laceration
рвать	tear; barf; slit; puke
рвение	fervor; zeal
рвота	barf; vomit
рвотная масса	puke
реабилитировать	acquit
реализация	fruition
реализовать	implement
реализовывать	fulfill
реанимировал	resuscitated
ребенок	toddler
ребенок от года до трех	toddler
рев	roar
реванш	revenge
ревень	rhubarb
реветь	roar
ревность	jealousy
регистрация	enrollment
регистрировать	enroll
регулировать	adjust; handle
регулировка	alignment; adjustment
редкий	scarce; sparse
резать	carve; slash
резвиться	frolic
резво	briskly
резец	incisor
резина	rubber
резиновый	rubber
резкий	harsh; abrupt; acute; blunt; sharp
резко	steeply
резко двигаться	flounce
резкость	acuity; harshness
резня	massacre; slaughter
резонировать	resonate
результат	deliverable; consequence; outcome
результаты	implication
результаты голосования	ballot
резюмировать	recap
рекламировать	tout
рекламные щиты	billboards
рекомендательный	advisory
рекомендация	prescription
рекомендовать	counsel; commend; endorse
реконструировать	remodel
рекрут	conscript
религиозный предрассудок	superstition
религия	faith
рельеф	relief
ремень	strap
ремонт	overhaul; remodel
ремонтировать	refurbish; furbish
рентоориентированное поведение	rent-seeking
репа	rutabaga
репетиция	rehearsal
репрессивная акция	crackdown
репрессия	crackdown; reprisal
репутация	fame; tick
рецепт	prescription
речной рак	crayfish
речь	discourse
решать	judge; determine
решающий	crucial; decisive
решение	resolution; judgement
решетка	lattice
решето	sieve
решительно	vigorously
решительность	resolution
решительный	resolute; decisive
ржаветь	rust
ржавчина	rust
рисковать	stake; jeopardize
рисовать	depict; draw
рисовать каракули	doodling
рисовать портрет	portray
ритуал	rite
рифма	rhyme
робкий	timid; humble; shy
робко	shyly; tentatively; tremulously
ров	moat
ров (с водой)	moat
ровесник	contemporary
ровно	evenly
ровность	evenness
ровный	even; smooth
ровня	peer
родник	rill
родной брат и сестра	sibling
родня	kinsfolk
родственники	kinsfolk
родственность	affinity
родственный	akin
родство	kinship
рождающийся	nascent
рожок	bugle; cone
розмноження	procreation
розовый	rosy
розыгрыш	raffle; hoax
роиться	hive
рой пчел	hive
рок	fate
роман	affair
роскошный	sumptuous; posh
рослый	stalwart
россыпь	placer
рост	stature; surge
ростовщический процент	usury
ростовщичество	usury
ротация	roll
роща	grove
рубероид	roofing felt
рубец	seam
рубить	hew; hack; chop
ругательства	invective
ругать	berate; lambaste; scold; slur
ругаться	darn; curse
рукавица	mitten
руководить	conduct; steer; govern
рулон	roll
румяный	rosy; blush
рутинная работа	chore
ручаться	vouch
ручеек	rill
ручей	creek
ручка	knob
ручная тележка	barrow
рывок	wrest
рыгание	burp
рыгать	burp
рыдание	weeping
рыдать	weep
рыло	snout
рыскать	scour
рыть	dig
рыть окоп	trench
рыться	rummage
рычаг	lever
рычать	snarl
рьяный	zealous
рябой	pockmarked
рябь	ripple
ряд	row
рядовой	rank-and-file
рядом	abreast; beside; alongside
рядом с	beside
с готовностью	cheerfully
с другой стороны	contrariwise
с моей точки зрения	from my perspective
с нуля	from scratch
с таким же успехом	as well
с тех пор	since
с точки зрения	wise
с трудом	barely; hardly
с учетом опыта	given past experience
с целью	in order to; on purpose
с этого времени	henceforth
саван	shroud
садиться на корабль	embark
садоводство	horticulture
сажать	plant
сажень	fathom
сакральный	sacred
салат	letuce
салат-латук	letuce
сало	lard
самодовольная улыбка	smirk
самодовольно  	complacently
самодовольный	smug; vain
самолет	plane
самонадеянность	presumption; arrogance
самонадеянный	reliant
самообладание	poise
самоотверженность	selflessness
самоотвод	recuse
самостоятельно	singly
самостоятельный	unilateral
самоуверенный	reliant
самоучка	autodidact
сани	sled; sleigh
санки	sled; sleigh
сановник	dignitary; grandee
сарай	barn; shed
саранча	grasshopper
сарделька	wiener
сахарная глазурь	icing
сбежать с возлюбленным	elope
сбивать с толку	mislead; obfuscate; puddle; confuse
сбивчивый	discursive
сбившийся с пути	errant
сбиться с пути	stray
сближение	convergence; proximity
сбой	malfunction; disruption
сбор	levy; turnout
сбрасывать в канаву	ditch
свалка	dump
сварливый	cantankerous
сварочный агрегат	welder
сварщик	welder
свататься	woo
свая	pile
свергать	overthrow
свергнуть	depose; overturn
сверкание	flare; glitter
сверкать	glitter
свернувшаяся кровь	gore
сверх того	moreover
сверять	tally
свести с ума	infatuate
светский	secular
свечение	radiance
свивать	swaddle
свидетель	bystander; witness
свидетельство	testimony; evidence; testament
свидетельствовать	attest
свинка	piglet
свиноматка	sow
свинство	beastliness
свинья	hog
свирепствующий	rampant
свирепый	fell; ferocious; savage; fierce
свисать	dangle
свисток	whistleblow
свита	entourage
свобода	latitude
свобода действий	discretion
свободно	loosely; broad
свободное время	leisure
свободный	loose
свободомыслящий	maverick
свод	vault; dome
сводить на нет	negate
своевольный	bratty
своенравный	bratty
своеобразный	peculiar
свойственный	intrinsic; proper
свора	pack
свыкаться	get used to
связанный	relatable; involved
связать	bind; strap
связаться	get in touch
связка	bunch; wad; bundle; chord
связный	coherent
связывать	tie; brace
связывать договором	indenture
связывать себя обязательствами	commit
связывающий	adhesive
связь	bond; liaison; conjunction; get in touch
святыня	shrine
священный	sacred
сгиб	fold
сгибать	bend
сговариваться	collude
сговор	collude; collusion
сговорчивый	amenable
сгребать	rake
сгусток	clot
сдавать	cede; hand over
сдаваться	give up; surrender; relinquish; weaken
сдвиг	shift; displacement; upheaval
сделанный на заказ	bespoke
сделка	bargain; deal
сдержанно	moderately
сдерживание	containment; curb
сдерживать	restrain; deter; rein; curb
сдерживаться	refrain
сдобная булка	bun
себялюбивый	selfish
седло	saddle
селезенка	spleen
сельдерей	celery
сельдь	herring
семь потов от волнения	sweat bullets
сено	hay
сера	sulfur
сердечный	hearty
сердитый	grumpy
сердитый взгляд	glower
сердить	exasperate; irritate
сердцевидка	cockle
серийный	serial
серия	batch
сернистый	sulfur
серость	drab
серп	sickle
серый цвет волос	mousy
серьезный	earnest
сетка	lattice
сетование	plaint
сеять	sow
сжалиться	take pity
сжатие	contraction
сжатый	concise; succinct
сжечь	scorch; burn
сжигать	combust
сжимать	condense; squash
сигнал тревоги	alarm
сидеть на корточках	squat
сизый	dove-colored
сила	strength; emphasis; vigour
сила воли	gut; will power
сила духа	fortitude
силовое воздействие	crackdown
сильно	vigorously
сильно бить	batter
сильно нервничать	sweat bullets
сильный	intense; husky
симулировать	feign
симуляция	sham
синица	chickadee; chickadee
синица-гаичка	chickadee
синичка	chickadee
синяк	bruise
сиплый	husky
сирота	orphan
сито	sieve
сияние	radiance
скала	cliff
скамья	bench
скандал	row
скандалить	brawl; row
скапливаться	gather
скат	slope
скатерть	tablecloth
скаут	scout
сквернословить	curse
сквозь	across
скелетообразный	skeletal
скидка	rebate
скипетр	rod
скирдовать	mow
скитаться	roam
склад	depot; stock; warehouse
склад ума	mindset
складка	fold
складывать	fold; tot
склон	slope
склонность	inclination; predilection; propensity; vocation; flair
склонный	prone
склоность	partiality
склонять	dispose; persuade; incline; induce
склоняться	incline; tend
склочничать	squabble
скоба	staples; staple
скобка	brace; bracket
скольжение	slip; slide; glide
скользить	glide; slide; slip
скользкий	slippery
скончаться	decease
скопление	congestion
скоплять	congest
скорбеть	grieve
скорбь	sorrow
скорее	rather
скорость	velocity; pace
скос	skew
скотовод	grazier
скотство	beastliness
скрежет	rasp
скрежетать	rasp
скрепка	staples
скреплять	bind; brace
скреплять обручем	hoop
скрести	scrape; scratch; scrub
скрещивание	intersection
скрещивать	fold
скрип	creak; squeak
скрипеть	creak; squeak
скромность	humility; simplicity
скромный	coy; humble; modest
скрывать	conceal; disguise; lurk; veil
скрытый	implicit; underneath; obscure
скрыть	obfuscate
скряга	miser; niggard
скудный	meager; scant; sparse; stingy
скука	boredom
скунс	skunk
скупердяй	niggard
скупиться	stint
скупой	stingy; miser
скучный	dull; drab; mousy; tedious
слабак	wimp
слабеть	weaken
слабительное	laxative
слабительный	laxative
слабовольный	feeble
слабый	feeble; weak; faint; tenuous; meager; slack
слава	fame; glory
славься	hail
сладости	confection
слаженность	cohesion
слегка	slightly
следить	observe; attend
следовало бы	ought
следовательно	hence; therefore
следовать	ensue
следовать за	succeeds
следствие	consequence; entailment; implication
сленг. не знаю (don't know)	dunno
слепящий	glaring
сливать	weave
слизняк	slug
слиток	ingot
слишком	overly
слишком высокая оценка	overestimate
слияние	confluence; merger
слобода	faubourg
слово в слово	verbatim
словосочетание	collocation
слог	syllable
сложившийся	mature
сложности	odds
сложный	compound
сломанный	busted
слоняться	hang around
слоняться без дела	loiter
слуга	attendant; servant
служащий	official
служитель	attendant; servant
служить оправданием	extenuate
служить препятствием	interfere
слух	hearsay; rumour
слухи	gossip
случаи	cases
случай	hap; occurrence; contingency
случайная встреча	encounter
случайно	accidentally; fortuitously; haphazard
случайное стечение обстоятельств	coincidence
случайность	contingency
случайный	contingent; haphazard; arbitrary; fortuitous; sporadic
случайный гость	drop-in
случаться	occur; hap
слюна	saliva
слюни	slobber
слюнтяй	wimp
слякоть	slush
смазывать	grease
смаковать	relish
сматывать в клубок	clew
смежный	contiguous
смело	boldly
смелость	audacity
смелый	daring; audacious; manful
смена	shift
смеркаться	dusk
смертельный	lethal
смертоносный	pestilent; lethal
смехотворный	ludicrous
смешивать	commingle; mingle
смешной	ridiculous
смещать	depose; displace; supersede; dislodge
смещаться	drift
смещение	displacement
смирение	humility
смиренно	meekly
смиренный	obedient; submissive
смириться	put up with
смола	resin
сморщивать	shrivel
смотреть почтительно на	look up to
смотреть пристально	stare
смотреть сердито	glower
смотреть сквозь пальцы	condone
смотритель	caretaker; warden
смотровая щель	peephole
смотровое отверстие	manhole
смрад	stench
смутно	dimly; vaguely
смутно вырисовываться	loom
смутный	vague; obscure
смущать	abash; discomfit; embarrass; bemuse; confuse; distract
смущение	embarrassment
смущенно	confusedly
смывать	rinse
смысл	significance; value; sense
смысл жизни	sense of purpose
смысловой	notional
смышленость	savvy
смягчать	mitigate; alleviate; extenuate; remit
смягчаться	relent
смятение	turmoil
снабжение	procurement; provision
снасти	tackle
снежный обвал	avalanche
снижать давление	decompress
снижение	drawdown; reduction
снимать урожай	reap
снисходительность	condescension
снисходительный	lenient; permissive
снисхождение	condescension
снова	anew
снова начать	recommence
снова получить обратно	regain
сноп	sheaf
сноровка	dexterity; proficiency
сносить	tear down; demolish; suffer
со стуком швырять	slam
собеседник	interlocutor
собирать	amass; compile; accumulate; gather
собирать в одно целое	aggregate
собирать по мелочам	glean
собирать урожай	harvest
собираться	gather; convene
соблазн	temptation; lure
соблазнительный	seductive
соблазнять	entice; seduce; tempt; inveigle; lure
соблюдать	abide; comply
соболезнование	condolence
собрание	turnout
совать	shove
совершать	accomplish; commit
совершать кражу со взломом	burgle
совершенно	downright; stark
совершенно верно	precisely
совершенный	committed; perfect; utter
совершенствовать	hone
совесть	conscience
совет	advice; tip; board; hint; counsel
советовать	advise; counsel
совещание	counsel
совещательный	advisory
совладать	cope
совместимый	compatible; compliant; consistent
совместный	joint; participatory
совмещаться	coincide
совокупность	constellation; aggregate
совокупный доход	comprehensive income
совпадать	coincide; concur; tally
совпадение	coincidence
современник	contemporary
современный	contemporary
согласие	assent; accordance; approval
согласиться	sided
согласно которому	whereby
согласный звук	consonant
согласование	negotiation; alignment
согласованный	coherent
согласовывать	reconcile; align
соглашаться	consent; admit; concur
соглашение	accord; bargain; indenture; deal
согнуть	bend
содействие	favor
содействовать	bolster; contribute; facilitate
содержание	substance
соединение	conjunction; conjugation
соединять	incorporate; weave
сожаление	compunction; mercy; pity; repentance; regret; sorrow
сожалеть	regret; repent; rue; deplore
созвездие	constellation
создавать	compose
создание	establishment
созерцать	contemplate; behold
сознаваться	confess
сознание	consciousness
сознательно	knowingly
сознательный	conscious; voluntary; conscientious
созыв	convene
созывать	convene
соизмеримый	commensurate
сокамерник	inmate
соковыжималка	squeezer
сократить	cut down
сокращать	curtail; shorten; shrink; reduce
сокращаться	dwindle
сокращение	contraction; drawdown; reduction
сокровище	treasure
сокровищница	trove; treasury
сокрушить	smash
солдатский сундучок	footlocker
соленье	pickle
солнцестояние	solstice
соловей	nightingale
солома	straw
соломенный	straw
соломинка	straw
сомневающийся	hesitant
сомнительный	shady; straw; controversial; suspicious
сонный	somnolent
сообразительность	acumen; savvy
сообщать	convey
сообщник	accomplice
соответственно	respectively; thereafter
соответственный	commensurate
соответствие	accordance; accord
соответствовать	conform; correspond; fit; tally; coincide
соответствующий	appropriate; congruous; due
соотечественник	countryman
сопение	snuffle
соперник	competitor; rival
соперничать	contend; vied; rival
соперничающий	rival
соперничество	rivalry
сопло	nozzle
сопляк	brat
сопоставление	comparison
соприкасающийся	contiguous
соприкосновение	tangency
сопричастность	complicity
сопровождать	accompany
сопровождающий	concomitant
сопротивляться	defy
сопротивляющийся	reluctant
сопутствовать	accompany
сопутствующее обстоятельство	concomitant
сопутствующий	concomitant
сор	litter
соразмерный	commensurate
соревнование	rivalry
соревноваться	compete
сорока	magpie
сорочка	nightgown
соседи	kith
соседний	adjacent
соседство	neighborhood; proximity
соскабливание	scrape
составление	compile
составлять	compose; constitute; make up
составная часть	constituent
составной	composite; compound
состояние	state
состоятельность	solvency
состоятельный	wealthy
сострадание	compassion; mercy; pity; ruth
сострадать	ache
состязаться	compete
сосуд	vessel
сотрясение мозга	concussion
соучастие	complicity
соучастник	accomplice
сохнуть	wither
сохранение	retention
сохраниться	persist
сохранять	retain; maintain
сохранять навсегда	perpetuate
сочетающийся	congruous
сочинять	compose
сочиться	trickle
сочный	luscious; lush
сочувствие	compassion; condolence
спад	decline; wane
спазм	spasm
спаржа	asparagus
спасать	rescue
спасаться бегством	flee
спасение	salvation; rescue
спасение (от банкротства)	bailout
спелый	ripe; mature
спертый	stale; stuffy
специалист	proficient
специально	expressly
специфический	peculiar
специя	condiment
спешить	hasten; rush; bustle
спешка	hurry; hustle; haste; rush
спираль	coil
списать со счета	deduct
списывать	crib
сплав	alloy
сплетать	weave
сплетаться	weave
сплетня	gossip; hearsay
сплоченность	cohesion
спокойно	quietly; evenly
спокойный	calm; sedate; mild; still; somnolent
спокойствие	serenity; tranquility
спор	controversy; dispute
спорить	argue; arguing; contend; haggle; quarrel
спорный	contentious; controversial
способ	manner
способность	aptitude; flair; capacity
способный	capable
способствовать	contribute; facilitate; foster
спотыкаться	stumble
справедливо	fairly
справедливость	equity; justice
справедливый	impartial; justified
справиться	cope; handle; get over
спрашивать	inquire
спрос	demand
спряжение	conjugation
спуск	descent
спускаться	descend; ladder
спускающийся	descendant
спустя время	after a while
сравнение	comparison
сравнительно	relatively
сраженный	smitten
сразить	smite; slay
сразу	promptly; right away
среда обитания	habitat
среди	amid; amidst
средний	mediocre
средства к существованию	subsistence
средство	remedy
средство воздействия	lever
средство передачи	conduit
срезать углы	cut corners
сродни	akin
срок	term
срок платежа	maturity date
срок погашения	maturity date
срок пребывания	tenure
срочный	express
срыв	disruption
срывать	pluck; tear; tear down
ссадина	chafe
ссора	quarrel; squabble; feud
ссориться	feud; brawl
ссуда	loan
ссылаться	allege
ссылаться на	mention
ссыльный	exile
стабильно	steadily
ставить в тупик	puzzle
ставить галочку	tick
ставить на карту	stake
ставить на сцене	enact
ставить условием	stipulate
ставка	stake
стадион	ballpark
стадо	flock; herd
стажировка	probation
сталкивался	faced
сталкиваться	collide; encounter; impinge
становиться на колени	kneel
станция	depot
старание	diligence
старатель	prospector
старательно	diligently
старательность	diligence
стараться	strive; endeavor
старомодный	obsolete
старшинство	superiority
старье	rummage
стационарный	stationary
стая	pack; flock
ствол	shaft; trunk; barrel; stem
стебель	stem
стегать	lash
стежок	stitch
стекать	drain
стекаться	converge
стеклярус	bugle
стеллаж	rack
стенание	plaint
стенания	wail
стенной шкаф	closet
степень	extent; grade
степь	steppe
стервятник	vulture
стержень	pivot
стерня	stubble
стесненные обстоятельства	strait
стеснительный	shy; timid
стеснять	embarrass
стимул	incentive; inducement; spur
стимулировать	propel
стипендия	fellowship
стирать	efface
стих	verse
стоимость	worth
стоить	deserve
стойка	rack
стойкий	steadfast; consistent; persistent
стойко	steadfastly
стойкость	fortitude; perseverance
стойло	stall
столб	pillar; pole
столкновение	clash; collision
столкнуться	collide; run into; bump
столовые приборы	cutlery
стон	moan
стонать	moan; shout
сторож	watchman; caretaker; janitor
сторона	aspect
сторониться	avoid
сторонник	proponent
сточная труба	sink
стоять	stand
стоящий	worthwhile
страдание	misery
страдать	suffer
странник	wayfarer
странность	oddity
странный	eccentric; odd; weird; bizarre; freakish
странствие	wander
странствовать	roam; wander
странствующий	errant
страстно	avidly; ardently
страстно желать	crave
страстное увлечение	passion
страстный	zealous
страсть	passion; desire
страус	ostrich
страх	awe; dismay
страховать	insure
страшно расстроить	devastate
страшный	dire; fearful; hideous; formidable; grim; scary
стрельба	firefight
стрелять залпом	volley
стремительно	headlong
стремительно падать	plummet
стремительный	impetuous
стремиться	aspire; aim; seek
стремление	aspiration; endeavor; pursuit; intention
стремя	stirrup
стремянка	ladder
строгий	rigorous; stern; strict; stringent; harsh
строгое соблюдение	adherence
строгость	rigor; austerity
строение	makeup
строительные леса	scaffold
строить козни	intrigue
строй	formation
стройный	slender
строфа	stanza; verse
строчить	stitch
струйка	trickle
струна	chord
струя	plume
студент-второкурсник	sophomore
стук	bang
стукач	snitch
стул	chair
ступенька	stair
ступка	mortar
ступор	stupor
стучать	tap
стыдливо	shamefacedly
стыдящийся	ashamed
стык	seam
стычка	hassle; skirmish
субаренда	sublet
суд	court
судебно-медицинский	forensic
судебное постановление	injunction
судебное разбирательство	litigation; proceeding; trial
судебный запрет	injunction
судебный процесс	lawsuit; litigation
судить	judge
судиться	litigate
судно	vessel
судорога	cramp; spasm
судьба	fate
судья	judge
суеверие	superstition
суеверный	superstitious
суета	bustle; fuss; commotion
суетиться	bustle; hustle
суетливый	fussy
суждение	judgement
сужение	contraction
сук	bough
суматоха	commotion; fuss; turmoil; bustle
сумеречный	twilight
сумерки	dusk; twilight
сумка	wallet; sack
суммировать	recap; tot
суммируемость	additivity
сумчатый	marsupial
сундук	coffer
сундучок	footlocker
суп	broth
супруг	consort
супруга	consort
супружеский	conjugal
сурикат	meerkat
суровость	austerity
суровый	severe; stern; harsh
сурок	groundhog
сутенер	ponce
сутулиться	slouch
сутулость	slouch
суть	crux; gist; nub; essence
сухость	dryness
сушить	stove
сушить на солнце	bake
существенный	substantial; considerable; essential; relevant; significant
существо	essence
существовать	subsist
сущность	entity; essence; gist; substance
сфальсифицированный	fraudulent
сфера действия	incidence
сфера компетенции	bailiwick
схватить	clutch; grab; seize
схватиться	come to grips
схватка	bout
схватывать	grip
схема	circuitry
схематически изображать	delineate
сходить	descend
сходить с рельсов	derail
сходиться	converge
сходство	resemblance; kinship; affinity
схождение	convergence
счастливый	merry
счастье	joy
счет	score
счетчик	counter
счеты	abacus
считать	deem; guess; estimate; figured; reckon
считать предосудительным	deplore
считать равным	equate
счищать ржавчину	furbish
съедобный моллюск	cockle
съеживаться	cringe
сыпь	rash
сырой	crude; damp; raw; humid
сыромятня	tannery
сырость	damp
сытость	satiety
сюжет	plot
сюрреалистичный	surreal
сюртук	frock
таз	pelvis
таиться	lurk
тайник	stash
тайно	furtively
тайное соглашение	collusion
тайные планы	agenda
тайный	privy; underneath
так	thus
так или иначе	somehow
так как	due to; since
так называемый	so-called
также	as well; either
также и	likewise
таким образом	thereby; thus
талант	flair
талантливый	dowry
таранить	ram
тачка	barrow
тащить	drag; haul
тащиться	crawl; traipse
таять	melt
твердить одно и то же	harp
твердость	harshness
твердый	firm; rigid
твое дело	it is up to you
творческий	imaginative
тебе решать	it is up to you
текущий	current
теленок	calf
телятина	veal
тем временем	meantime
тем не менее	nevertheless; albeit
тема	subject
темнота	gloom
темный	somber
темп	pace
тент	canopy
теплица	greenhouse
тепло	warmth
теплота	warmth
тереть	friction; rub; scrub
терзать	excruciate
терзающий	excruciating
терка	grater
термин	term
терпеливый	patient
терпеть	endure; put up with; tolerate; stand; suffer
терпимый	lenient
терять сознание	faint; pass out
терять яркость	dim
тесак	cleaver
тесная связь	intimacy
тесно	intimately; closely
тесто	dough; pastry
тесьма	webbing
тех. поддон	tray
технология	tech
течение	tide
течь	seep; seepage
тимьян	thyme
тина	slime
тип мышления	mindset
тихо	quietly
тканое полотно	tapestry
ткань	cloth; tissue
ткать	weave
ткацкий станок	loom
то и дело	constantly
товар	commodity
товарищество	fellowship
товарный склад	warehouse
тогда как	whereas; whilst
того	thereof
тоже	as well
ток	current
толкать	thrust; shove
толковать	construe; expound
толочь в ступке	mortar
толпа	huddle; herd; concourse
толстый	thick
толчок	jolt
толь	roofing felt
только	solely; merely
томиться	languish
томление	languor
томность	languor
тому назад	since
тон	hue
тонкий	slender; thin; subtle
тонкость	subtlety
тонуть	drown; sink
топить	drown
топка	furnace
тополь	poplar
топор	hatchet
топорик	hatchet
топтать	trample
торговаться	haggle; bargain
торговец	monger
торжественный	solemn
торжествовать	jubilate
торможение	deceleration
торопить	precipitate
торопиться	hasten; hurry; rush; bustle
торопливость	haste
торчать	protrude
тосковать	yearn
тотчас	instantly; right away
точка безубыточности	break even
точка зрения	perspective
точка опоры	fulcrum; pivot
точно	precisely; expressly; for sure; even
точно определять	specify
точность	accuracy
точный	precise; neat; rigorous; strict; stringent
тошнить	puke; vomit
тошнота	nausea
тошнотворный	nauseous
травление	etch
травоядное	grazer
травяной	herbaceous
традиционный	conventional
трактат	treatise
траншея	trench
трап	ladder; ramp
трата	expense
трахаться	get laid
требование	demand; claim
требовательный	picky; strict
требовать	claim; demand
требовать плату	charge
требуется	it takes to become
тревога	alarm; dismay; anxiety; alarming
тревожить	afflict; alarm
тревожный	alarming; anxious; restless
трезвость	sobriety
трение	friction
трепет	awe; shiver
трепетно	tremulously
трепещущий	vibrant
треск	crackling
трескаться	chap; crack
трефы	club
трещина	crack; chap; fracture
трико	tights
триумф	glory
трогать ладонью	palm
троекратный	triple
тройной	triple
тромб	clot
тростник	cane
трость	cane
тротуар	pavement; sidewalk
труба	chimney; trumpet
трубить в рог	toot
трубопровод	conduit
труд	labor
трудноизлечимый	intractable
трудности	hardships; odds
трудность	hassle; embarrassment; adversity
трудный	laborious; tough
трудоемкий	laborious
трудоустройство	placement
трус	coward
трусливо	cowardly
трусость	cowardice
трюк	ploy; stunt; subterfuge; trick
тряпка	rag
трясти	jolt; rattle; shake
трястись	jiggle; tremble
туго	tight
тугой	tight
тугой на ухо	deaf
тужить	grieve
туловище	trunk
туманный	turbid
тупица	dunce
тупой	blunt; obtuse
тусить	hang
тускло	dimly
тускнеть	dim
тучка	cloudlet
тучность	obesity
тушеное мясо	stew
тушить	extinguish; stew; quench
тушиться	stew
тщательно	meticulously; thoroughly
тщательно выбирать	hand-pick
тщательно исследовать	delve
тщательно подбирать	glean
тщательно разработанный	elaborate
тщательность	thoroughness
тщательный	rigorous
тщеславие	vanity
тщетно	in vain; vainly
тщетный	futile; vain
тюлень	seal
тюремное заключение	confinement
тюремный начальник	warden
тюрьма	cage
тягостный	burdensome; onerous; cumbersome
тягучесть	viscosity
тяжба	lawsuit; litigation
тяжелые испытания	hardships
тяжкое уголовное преступление	felony
тянуть	haul; draw
тянуть на бечеве	tow
тяпка	hoe
тёмный	shady
убавлять	diminish
убаюкивать	lull
убаюкивающий	somnolent
убегать	flee
убедительно	earnestly
убедительность	credibility
убедительный	plausible
убедить	buy in
убеждать	convince; persuade; urge; argue
убеждаться	ascertain
убеждение	conviction
убежденный	convinced
убежище	asylum; dugout; shelter
убийца	thug
убирайся	begone
убирайся прочь!	begone
убирать	tidy
убить	slay
убогий	miserable
уборщик	janitor
убранство	finery
убывать	diminish
уважать	look up to; esteem; respect
уважение	respect; awe; esteem
увековечивать	perpetuate
увековечить память	commemorate
увеличение	amplification; augment; boost
увеличивать	enhance; magnify; amplify; augment
уверенно	firm
уверенность	confidence; conviction
уверенный	convinced
увернуться	dodge
увертка	evasion
увертливо	evasively
уверять	assure; reassure; convince
увещевание	exhortation
